"AOU","rmse_occ","rmse_pres","rmse_gam","rmse_gam_pres","rmse_rf","rmse_rf_pres","rmse_me_pres"
6150,0.369890732058067,0.431407691774028,0.30019939588832,0.408293725267997,0.353465820300706,0.427836749994085,0.429932437870546
6160,0.288104931358232,0.455530179776922,0.254300794870257,0.423608117943567,0.278487368472412,0.452342859498393,0.481829160038915
6170,0.337714475398276,0.474864981645988,0.298989778410715,0.442969656952867,0.312478226768931,0.464283492045279,0.453163233158145
6190,0.259276418109209,0.249137713805372,0.226264693357423,0.214247179120949,0.250024637143962,0.249171086231038,0.375333773378716
6220,0.25790502836479,0.366139630928247,0.231927040962179,0.342647121514442,0.24819644719811,0.359929497857236,0.355435274581938
6240,0.270521927454894,0.27515324935561,0.21984956176592,0.253029674070288,0.241941612261507,0.262808183636634,0.370780149840476
6270,0.369850618096302,0.38418866495203,0.316724620529177,0.33951291770972,0.309117874881386,0.344934002615871,0.39705417142979
6280,0.347958219792766,0.431383387481381,0.299478251594981,0.408359704163412,0.33169364570729,0.429571106319034,0.43491773447924
6290,0.339126180160904,0.377684290544327,0.262546293831951,0.321984681930077,0.318114182313919,0.362569890311806,0.411031667749712
6291,0.349562765790658,0.412160698009677,2.68269843515196e-06,0.347757481135829,0.362124296995061,0.425148015166547,0.404108451776877
6310,0.260268997805119,0.324260437312275,0.199759689935782,0.256972523126043,0.240515807089815,0.317159315247033,0.37655868705964
6330,0.310767877753962,0.431581049618009,0.183107156220615,0.379320704506414,0.272255250210318,0.420890736373945,0.404349250084304
6360,0.340913768776603,0.423861099654415,0.297610833121456,0.393366047441074,0.323706082346502,0.421529603058666,0.434296811457253
6370,0.260307414136224,0.404448324762854,0.204281995558343,0.329512020946966,0.258836241832942,0.402193161356718,0.394123740896062
6390,0.312378530301252,0.477473305765786,0.237415897898696,0.418422349991273,0.306761439176224,0.448880188592943,0.447084782772745
6410,0.279408149070966,0.445566303092005,0.195456345256081,0.31375653145014,0.236744594730844,0.374843416466162,0.400717796466263
6450,0.347332898798155,0.378744225308078,0.201888709054782,0.280851355227089,0.303625524071262,0.384514099781855,0.376648240128228
6460,0.350740507848044,0.40612130405426,0.227657684691548,0.210758790492004,0.318282521174606,0.404270104680573,0.403559827658692
6480,0.379762055791678,0.423668328637795,0.297554545874063,0.371651070637786,0.342584907043513,0.408615064309455,0.436628899450097
6520,0.33822816255628,0.352835922706846,0.293560223295942,0.329335258574557,0.30109061787841,0.345226204815911,0.406676602793627
6540,0.316063748082272,0.399360163150196,0.224934309595229,0.344030276820736,0.319859414299859,0.402035498028927,0.403683325548845
6550,0.257339426007887,0.274940044944826,0.164509046742876,0.201261702528612,0.235515116885907,0.272862919025856,0.285429346649903
6570,0.344570977355075,0.430389278598869,0.22483053526872,0.236132855085876,0.327896418851932,0.400016261577893,0.387916870581649
6590,0.250596470320148,0.278705624905673,0.146562489031002,0.244359186637621,0.245611566458625,0.285107074150674,0.37783879373095
6620,0.33821953999192,0.401782479343192,0.234251702616501,0.342150066612715,0.338966460569944,0.437760766328245,0.400336979332614
6630,0.32540487221661,0.444902092574387,0.263803340038175,0.37080347913245,0.321517321452859,0.447381602091792,0.426391589503728
6650,0.34198433106383,0.437653473440223,0.202074863561756,0.358713418708932,0.351139938393252,0.454854788551708,0.426089885557041
6670,0.338144839321933,0.389751703751646,0.258767354460615,0.285958006100065,0.325148272475296,0.3618776657561,0.391659601263924
6710,0.366991083156958,0.389240072886946,0.271894710665131,0.30428225141224,0.34086535535335,0.372399283885003,0.415183557712468
6730,0.374148311848411,0.440414568949244,0.266521199215033,0.307250131643343,0.35231538034694,0.417643333943026,0.411981164608484
