"AOU","rmse_occ","AUC","rmse_pres","AUC_pres","rmse_gam","AUC_gam","rmse_gam_pres","AUC_gam_pres","rmse_rf","AUC_RF","rmse_rf_pres","AUC_RF_pres","rmse_me_pres","AUC_me_pres"
5170,0.225512793416081,0.511658815612382,0.333902892084769,0.660180692309509,0.213023237372775,0.58514468371467,0.318138631994358,0.764015312507379,0.225996468249029,0.570053835800808,0.330777247124939,0.709505088427664,0.483048240309249,0.765476316970083
5180,0.217880302473098,0.625708884688091,0.34009785333937,0.693436252888049,0.179811624120192,0.672377126654064,0.30767895592973,0.832671707624449,0.218093414453334,0.685609640831758,0.339873485206264,0.729195547153959,0.478228074363955,0.773713505566058
5190,0.306761828512706,0.538053717399766,0.407173633263648,0.594896699617895,0.298025531522261,0.499470611132736,0.393632297807427,0.67271579305966,0.298796513658464,0.650260801868431,0.388396881673431,0.71443339154893,0.539527417431259,0.660554938944596
5210,0.130669334555183,0.53771556910243,0.252795035607037,0.745161225635678,0.122736498308837,0.576425764017005,0.249939705647589,0.785660142776931,0.131696343367015,0.608735060559878,0.256160125821552,0.763160744365124,0.455808413190294,0.790857864762974
5290,0.337605533965631,0.577990404536038,0.378860636377168,0.622814344907083,0.328891041583956,0.587367789772108,0.371382803423043,0.68683602816331,0.330857994286569,0.509628175771453,0.371073974631689,0.715541127311245,0.531386498237841,0.693918718943253
5300,0.211308236692446,0.583959369378902,0.326491314100042,0.638821288752513,0.184978245342209,0.583112898106021,0.307792749258774,0.786636334779388,0.217285965546424,0.519839170458153,0.330164123593087,0.691090889852926,0.510692242100575,0.758689556660671
5330,0.182234039719346,0.534594594594595,0.304360992818143,0.668573506241668,0.175312331266404,0.525702172760996,0.299448938865628,0.734298872863895,0.18249902363278,0.597456279809221,0.307634327557594,0.697143376560417,0.504852292575521,0.742828748030542
5400,0.255884722197285,0.544441892512632,0.33269460737674,0.64199088960343,0.247528543666256,0.502363726841219,0.326540150126861,0.715224544480171,0.2499571202334,0.558518986372684,0.327627823344898,0.733349946409432,0.527961277739624,0.700373526259378
5420,0.267134993649612,0.566079135386066,0.331757437100371,0.64104469857954,0.257017067119529,0.527708265332028,0.322434297155572,0.729345844198502,0.260719006212663,0.635150328219635,0.319083579008477,0.747110814669822,0.508333883856372,0.738051945004927
5460,0.234603621642692,0.576638457150448,0.369684020995628,0.585775732505811,0.225059057805265,0.538348532089301,0.36292614331136,0.653597036495054,0.226593261087079,0.603238233662314,0.360006577254934,0.69890216390202,0.548737937624005,0.670624567438885
5470,0.0921578655258979,0.595897121861604,0.271398543768203,0.633716143011918,0.0744312335977051,0.588977342314758,0.255283756236996,0.75783315276273,0.0954145652769307,0.530220453153705,0.274209693552217,0.663044420368364,0.514242950904778,0.702925243770314
5480,0.147424376336998,0.596028154851684,0.2641113297349,0.741013071895425,0.115889324213178,0.697083961789844,0.25521150030967,0.820836359235052,0.14410166043772,0.717948717948718,0.258695995936982,0.744296175260228,0.441680390365597,0.816660614863229
5520,0.244596085875629,0.553130958506099,0.35229737005849,0.602898445860261,0.235204290735303,0.574574014103689,0.346612747711869,0.668472403642194,0.239555871527181,0.573227202566508,0.344008292732109,0.714053140078221,0.547394307328652,0.680595912243087
